evaluation_id,video,question,ground_truth,prediction,evidence_record_count,experiment,model,annotation_answer,type,qid,reasoning_category,ground_truth_normalized,prediction_normalized,prediction_missing,prediction_error,prediction_valid,exact_match,ground_truth_contains_prediction,prediction_contains_ground_truth,partial_match,ground_truth_word_count,prediction_word_count
eval_000000,4279106208,why did the lady hold onto the child when going down the slide together,ensure child s safety,safety,4,baseline,Qwen2-VL-7B,1,CW,10,Causal,ensure child s safety,safety,False,False,True,False,True,False,True,4,1
eval_000001,4970148391,what happens to the water ball after being hit,burst,it flies,4,baseline,Qwen2-VL-7B,0,TN,5,Temporal,burst,it flies,False,False,True,False,False,False,False,1,2
eval_000002,13296054183,how do the man make sure that they do not lose each other when cycling,keep up with each other pace,stay close,2,baseline,Qwen2-VL-7B,4,CH,7,Causal,keep up with each other pace,stay close,False,False,True,False,False,False,False,6,2
eval_000003,3321261856,what did the golden cat do after standing at the side of the wall for a while,sat down,walk away,5,baseline,Qwen2-VL-7B,3,TN,7,Temporal,sat down,walk away,False,False,True,False,False,False,False,2,2
eval_000004,6018490041,what does the man in brown pants do after bending forward at the start,look to the right,stand up,4,baseline,Qwen2-VL-7B,3,TN,5,Temporal,look to the right,stand up,False,False,True,False,False,False,False,4,2
eval_000005,10109097475,what does the man in red do after looking at a distance from the plane at the start,moves away,run,15,baseline,Qwen2-VL-7B,4,TN,5,Temporal,moves away,run,False,False,True,False,False,False,False,2,1
eval_000006,3321261856,what did the girl do after she pointed,stomp her foot,point at cat,5,baseline,Qwen2-VL-7B,0,TN,2,Temporal,stomp her foot,point at cat,False,False,True,False,False,False,False,3,3
eval_000007,7887764754,what is the response of the baby as the dog approaches her at the start,feed dog,fear,6,baseline,Qwen2-VL-7B,0,TC,4,Temporal,feed dog,fear,False,False,True,False,False,False,False,2,1
eval_000008,8253302563,how many people are involved in the video,one,1,7,baseline,Qwen2-VL-7B,3,DC,8,Descriptive,one,1,False,False,True,False,False,False,False,1,1
eval_000009,6690256857,how did the man shower the dog,use hose,hose,2,baseline,Qwen2-VL-7B,0,CH,4,Causal,use hose,hose,False,False,True,False,True,False,True,2,1
eval_000010,3164519967,how did the baby kept himself warm,wear more clothes,blanket,6,baseline,Qwen2-VL-7B,1,DO,11,Descriptive,wear more clothes,blanket,False,False,True,False,False,False,False,3,1
eval_000011,5133787349,why does the man at the side suddenly enter the stage at the end,men fell down,to help the man,2,baseline,Qwen2-VL-7B,1,CW,7,Causal,men fell down,to help the man,False,False,True,False,False,False,False,3,4
eval_000012,3046900922,how is the child being held for most parts of the video,carried by the man,by the arms,3,baseline,Qwen2-VL-7B,1,CH,6,Causal,carried by the man,by the arms,False,False,True,False,False,False,False,4,3
eval_000013,6291413193,why is there a man standing in the deeper waters,to view the dolphine,watching dolphin,11,baseline,Qwen2-VL-7B,4,CW,2,Causal,to view the dolphine,watching dolphin,False,False,True,False,False,False,False,4,2
eval_000014,12682618843,what does the dog do after letting go of the bone after the middle part of the video,use paw to grab it,sleep,8,baseline,Qwen2-VL-7B,1,TN,1,Temporal,use paw to grab it,sleep,False,False,True,False,False,False,False,5,1
eval_000015,4151403382,what does the boy in brown bib do after seeing the piano,bend down to play,play piano,10,baseline,Qwen2-VL-7B,3,TN,4,Temporal,bend down to play,play piano,False,False,True,False,False,False,False,4,2
eval_000016,3192668394,why does the woman in blue constantly change her view,drawing portrait of woman,to see the camera,11,baseline,Qwen2-VL-7B,4,CW,6,Causal,drawing portrait of woman,to see the camera,False,False,True,False,False,False,False,4,4
eval_000017,2735019707,why are the different sizes of drums placed together,make different sounds,play music,3,baseline,Qwen2-VL-7B,4,CW,4,Causal,make different sounds,play music,False,False,True,False,False,False,False,3,2
eval_000018,11966080214,how does the girl interact with the wheel at the end of the video,turns it round and round,spin it,8,baseline,Qwen2-VL-7B,4,CH,3,Causal,turns it round and round,spin it,False,False,True,False,False,False,False,5,2
eval_000019,4984331176,why did the student in yellow go after the lady in black singlet,miss the right time to go,fight for rope,2,baseline,Qwen2-VL-7B,4,CW,5,Causal,miss the right time to go,fight for rope,False,False,True,False,False,False,False,6,3
eval_000020,2535384528,why does the man wear glove on one hand,grip golf club,grip club,2,baseline,Qwen2-VL-7B,4,CW,6,Causal,grip golf club,grip club,False,False,True,False,False,False,False,3,2
eval_000021,6806999702,why was the girl on the floor in the middle of the video,she fell,pick up ball,15,baseline,Qwen2-VL-7B,2,CW,3,Causal,she fell,pick up ball,False,False,True,False,False,False,False,2,3
eval_000022,6793786769,how is the boy positioned in the video,lying on his stomach,laying down,8,baseline,Qwen2-VL-7B,1,TC,0,Temporal,lying on his stomach,laying down,False,False,True,False,False,False,False,4,2
eval_000023,4967810888,why does the woman speaking turn around while talking,talking to the crowd,to look at people,10,baseline,Qwen2-VL-7B,0,CW,0,Causal,talking to the crowd,to look at people,False,False,True,False,False,False,False,4,4
eval_000024,5858985747,what does the baby in yellow do after walking close to the sofa at the end,pick up phone,sit down,2,baseline,Qwen2-VL-7B,2,TN,6,Temporal,pick up phone,sit down,False,False,True,False,False,False,False,3,2
